Scenario,Period,LoadLevel,ES112,ES21,ES300,ES418,ES432,ES511,ES523,ES611,ES612,ES618,ES620
sc2015,y2030,2030-07-07T19:00:00+02:00,68.48162728437832,68.48162728437809,68.48162728437819,68.48162728437832,68.48162728437819,68.48162728437809,68.48162728437815,68.48162728437815,68.48162728437818,68.48162728437818,68.48162728437815
sc2015,y2030,2030-07-07T23:00:00+02:00,68.48162728437815,68.48162728437809,68.48162728437809,68.48162728437815,68.48162728437819,68.48162728437809,68.48162728437792,68.48162728437792,68.48162728437792,68.48162728437792,68.48162728437792
sc2015,y2030,2030-07-08T03:00:00+02:00,68.48162728437819,68.4816272843782,68.4816272843782,68.48162728437819,68.48162728437819,68.4816272843782,68.4816272843782,68.4816272843782,68.48162728437819,68.48162728437819,68.4816272843782
sc2015,y2030,2030-07-08T07:00:00+02:00,68.48162728437813,68.48162728437813,68.48162728437815,68.48162728437813,68.48162728437815,68.48162728437813,68.48162728437815,68.48162728437815,68.48162728437813,68.48162728437813,68.48162728437815
sc2015,y2030,2030-07-08T11:00:00+02:00,68.07748225492895,68.07748225492891,68.07748225492891,68.07748225492895,68.07748225492891,68.07748225492891,68.0774822549289,68.0774822549289,68.07748225492888,68.0774822549289,68.0774822549289
sc2015,y2030,2030-07-08T15:00:00+02:00,66.25,66.25,66.25,66.25,66.24999999999999,66.25,66.24999999999999,66.24999999999999,66.24999999999999,66.24999999999999,66.24999999999999
sc2015,y2030,2030-07-08T19:00:00+02:00,68.48162728437813,68.48162728437813,68.48162728437815,68.48162728437813,68.48162728437815,68.48162728437813,68.48162728437815,68.48162728437815,68.48162728437813,68.48162728437813,68.48162728437815
sc2015,y2030,2030-07-08T23:00:00+02:00,67.79360078681431,67.60837528742279,67.64143399273726,67.79360078681431,68.48162728437819,67.14090140800613,66.50165185621042,72.77199348783913,69.63947051239094,69.10246657374267,73.84600136513563
sc2015,y2030,2030-07-09T03:00:00+02:00,66.25,66.25,66.25000000000001,66.25,66.25000000000001,66.25,66.25,66.25,66.24999999999991,66.24999999999991,66.25
sc2015,y2030,2030-07-09T07:00:00+02:00,66.25,66.25,66.25000000000001,66.25,66.25000000000001,66.25,66.25,66.25,66.24999999999991,66.24999999999991,66.25
sc2015,y2030,2030-07-09T11:00:00+02:00,66.25,66.25,66.25,66.25,66.24999999999999,66.25,66.24999999999999,66.24999999999999,66.24999999999999,66.24999999999999,66.24999999999999
sc2015,y2030,2030-07-09T15:00:00+02:00,66.25,66.25,66.25,66.25,66.24999999999999,66.25,66.24999999999999,66.24999999999999,66.24999999999999,66.24999999999999,66.24999999999999
