,,,Nuclear,DomesticCoal_Anthracite,BrownLignite,ImportedCoal_SubBituminous,ImportedCoal_Bituminous,CCGT_1,CCGT_2,CCGT_3,CCGT_4,OCGT_1,OCGT_2,OCGT_3,FuelOilGas,WindFarm_1,SolarPV_1,ESS1
2030,sc01,01-12 03:00:00+01:00,,,,,,,,,,,,,,117.31285,0.000001,
2030,sc01,01-12 04:00:00+01:00,,,,,,,,,,,,,,125.138575,0.000001,
2030,sc01,01-12 05:00:00+01:00,,,,,,,,,,,,,,128.374975,0.000001,
2030,sc01,01-12 06:00:00+01:00,,,,,,,,,,,,,,136.6175,0.000001,
2030,sc01,01-12 07:00:00+01:00,,,,,,,,,,,,,,145.7218,0.03955,
2030,sc01,01-12 08:00:00+01:00,,,,,,,,,,,,,,155.575325,0.621525,
2030,sc01,01-12 09:00:00+01:00,,,,,,,,,,,,,,159.2672,13.433575,
2030,sc01,01-12 10:00:00+01:00,,,,,,,,,,,,,,156.299725,39.128275,
2030,sc01,01-12 11:00:00+01:00,,,,,,,,,,,,,,150.33745,56.777425,
2030,sc01,01-12 12:00:00+01:00,,,,,,,,,,,,,,152.988825,65.370525,
2030,sc01,01-12 13:00:00+01:00,,,,,,,,,,,,,,161.49765,68.19555,
2030,sc01,01-12 14:00:00+01:00,,,,,,,,,,,,,,161.19305,64.1702,
2030,sc01,01-12 15:00:00+01:00,,,,,,,,,,,,,,158.260075,51.552975,
2030,sc01,01-12 16:00:00+01:00,,,,,,,,,,,,,,148.463075,28.688825,
2030,sc01,01-12 17:00:00+01:00,,,,,,,,,,,,,,150.88795,6.864925,
2030,sc01,01-12 18:00:00+01:00,,,,,,,,,,,,,,168.465625,0.06895,
2030,sc01,01-12 19:00:00+01:00,,,,,,,,,,,,,,180.510375,0.000001,
2030,sc01,01-12 20:00:00+01:00,,,,,,,,,,,,,,186.856525,0.000001,
2030,sc01,01-12 21:00:00+01:00,,,,,,,,,,,,,,191.528475,0.000001,
2030,sc01,01-12 22:00:00+01:00,,,,,,,,,,,,,,198.604325,0.000001,
2030,sc01,01-12 23:00:00+01:00,,,,,,,,,,,,,,202.9453,0.000001,
2030,sc01,01-13 00:00:00+01:00,,,,,,,,,,,,,,199.2072,0.000001,
